sample_id,block_idx,is_correct,before_entropy,conf_entropy,after_entropy,delta_entropy,before_surprisal,conf_surprisal,after_surprisal,delta_surprisal,conf_length_tokens
38,0,True,0.4276489019393921,0.43540531396865845,0.3580911159515381,-0.069557785987854,0.6347565054893494,0.6810789108276367,0.237172931432724,-0.39758357405662537,7
39,0,True,0.27916190028190613,0.4279738962650299,0.357120156288147,0.07795825600624084,0.6501217484474182,0.7298813462257385,0.24138186872005463,-0.4087398648262024,7
40,0,True,0.7763445973396301,0.44107240438461304,0.3728163242340088,-0.40352827310562134,0.6531450152397156,0.6870751976966858,0.27999162673950195,-0.3731533885002136,7
41,0,True,0.3594208061695099,0.4476507604122162,0.37265467643737793,0.013233870267868042,0.6808479428291321,0.7406482696533203,0.2708528935909271,-0.40999504923820496,7
42,0,True,0.47669535875320435,0.43847158551216125,0.38151150941848755,-0.0951838493347168,0.5973936915397644,0.7044298052787781,0.27803608775138855,-0.31935760378837585,7
43,0,True,0.33392462134361267,0.4342925250530243,0.38060426712036133,0.04667964577674866,0.6578659415245056,0.703052818775177,0.2762587070465088,-0.3816072344779968,7
44,0,True,0.42904341220855713,0.4343908131122589,0.3643415868282318,-0.06470182538032532,0.690255880355835,0.6689701080322266,0.25574955344200134,-0.4345063269138336,7
45,0,True,0.4076980948448181,0.425420343875885,0.35698217153549194,-0.05071592330932617,0.6111863255500793,0.7903743982315063,0.22690913081169128,-0.38427719473838806,7
46,0,True,0.3574603796005249,0.42160725593566895,0.36274832487106323,0.00528794527053833,0.6495136022567749,0.6970924735069275,0.25193125009536743,-0.39758235216140747,7
47,0,True,0.4137982428073883,0.4206441342830658,0.3826327919960022,-0.03116545081138611,0.7859817743301392,0.8261341452598572,0.26296553015708923,-0.5230162143707275,7
48,0,True,0.31466472148895264,0.4260103404521942,0.3718624711036682,0.057197749614715576,0.7198445796966553,0.7454057335853577,0.23100334405899048,-0.4888412356376648,7
49,0,True,0.4804671108722687,0.42672422528266907,0.36383056640625,-0.11663654446601868,0.8386963605880737,0.7424612641334534,0.2451983094215393,-0.5934980511665344,7
50,0,True,0.2710234820842743,0.4244791567325592,0.3620806634426117,0.0910571813583374,0.7333531379699707,0.7395192384719849,0.2775000333786011,-0.45585310459136963,7
51,0,True,0.38600876927375793,0.4428694546222687,0.3621380925178528,-0.02387067675590515,0.6808090806007385,0.7009138464927673,0.24256554245948792,-0.4382435381412506,7
52,0,True,0.5281846523284912,0.4285163879394531,0.36828893423080444,-0.15989571809768677,0.7008060216903687,0.6944509148597717,0.22519472241401672,-0.47561129927635193,7
53,0,True,0.4538213014602661,0.45421791076660156,0.3672177791595459,-0.08660352230072021,0.6722068190574646,0.6042112112045288,0.29602712392807007,-0.37617969512939453,7
54,0,True,0.37284260988235474,0.43380123376846313,0.38345393538475037,0.01061132550239563,0.7297495603561401,0.7417148947715759,0.27504855394363403,-0.4547010064125061,7
55,0,True,0.5071185827255249,0.42507410049438477,0.3726820647716522,-0.13443651795387268,1.5762717723846436,0.7793764472007751,0.24413630366325378,-1.3321354389190674,7
56,0,True,0.5885124802589417,0.4435558617115021,0.3786628842353821,-0.20984959602355957,1.6172294616699219,0.7338414788246155,0.262445867061615,-1.354783535003662,7
57,0,False,0.5463152527809143,0.4225146472454071,0.36552539467811584,-0.18078985810279846,0.4153081774711609,0.7635709047317505,0.2284550666809082,-0.18685311079025269,7
58,0,True,0.3777792155742645,0.45774057507514954,0.3808880150318146,0.003108799457550049,0.7533627152442932,0.6961936950683594,0.26541462540626526,-0.48794808983802795,7
59,0,True,0.40737292170524597,0.4248974919319153,0.37263262271881104,-0.034740298986434937,0.7128689289093018,0.7439373135566711,0.2551555335521698,-0.45771339535713196,7
60,0,True,0.3231862783432007,0.429872989654541,0.3552548289299011,0.03206855058670044,0.6254507303237915,0.6865242719650269,0.21062642335891724,-0.41482430696487427,7
61,0,False,1.1765129566192627,0.4336332678794861,0.38669127225875854,-0.7898216843605042,1.0958037376403809,0.7316268682479858,0.26868724822998047,-0.8271164894104004,7
62,0,True,0.34412798285484314,0.4353320896625519,0.3611414432525635,0.017013460397720337,0.6885322332382202,0.6827378273010254,0.21142122149467468,-0.47711101174354553,7
63,0,True,0.33545976877212524,0.42637649178504944,0.37746500968933105,0.04200524091720581,0.7021268010139465,0.7496762275695801,0.2542508840560913,-0.4478759169578552,7
64,0,True,0.3248266577720642,0.421530544757843,0.3667118549346924,0.041885197162628174,0.6115763783454895,0.7600288987159729,0.23090796172618866,-0.38066840171813965,7
65,0,True,0.3480594754219055,0.4371144771575928,0.36018550395965576,0.012126028537750244,0.7041804194450378,0.6844990849494934,0.2052592933177948,-0.49892112612724304,7
