sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
99,False,1,0.091493,0.001883,0.002464,-0.089029,0.087092,0.000218,0.000270,-0.086822,0.026828,0.023462,222
100,True,1,0.090805,0.000273,0.005563,-0.085242,0.087064,0.000026,0.000655,-0.086409,0.013091,0.005547,217
101,False,1,0.092949,0.002516,0.002286,-0.090663,0.028076,0.000326,0.000254,-0.027822,0.072709,0.046615,202
102,True,1,0.103978,0.001413,0.002342,-0.101637,0.081553,0.000151,0.000248,-0.081305,0.024854,0.010720,182
103,True,1,0.115508,0.000237,0.002234,-0.113274,0.108243,0.000020,0.000254,-0.107989,0.027600,0.025485,184
104,True,1,0.018910,0.000987,0.001028,-0.017883,0.001547,0.000108,0.000097,-0.001450,0.013797,0.005637,108
105,True,1,0.013987,0.000958,0.001117,-0.012870,0.001116,0.000111,0.000111,-0.001005,0.010509,0.003356,182
106,True,1,0.048381,0.000740,0.001271,-0.047110,0.011051,0.000084,0.000124,-0.010926,0.040440,0.024287,249
107,True,1,0.019057,0.000762,0.001347,-0.017710,0.001525,0.000082,0.000130,-0.001396,0.028275,0.018584,236
108,True,1,0.013225,0.001785,0.005943,-0.007282,0.001017,0.000199,0.000732,-0.000285,0.019824,0.005089,146
109,True,1,0.010167,0.000257,0.002649,-0.007518,0.000925,0.000022,0.000283,-0.000642,0.018415,0.020599,179
110,True,1,0.015602,0.001692,0.001522,-0.014080,0.002816,0.000192,0.000155,-0.002661,0.033799,0.025630,244
111,True,1,0.010581,0.001842,0.001691,-0.008889,0.000777,0.000195,0.000172,-0.000605,0.036082,0.018844,192
112,True,1,0.075232,0.000798,0.001184,-0.074048,0.008132,0.000082,0.000120,-0.008013,0.016982,0.010668,113
113,True,1,0.046697,0.000044,0.003270,-0.043427,0.011118,0.000003,0.000408,-0.010710,0.034049,0.029656,283
114,True,1,0.028940,0.010108,0.003633,-0.025307,0.003495,0.001547,0.000412,-0.003083,0.062401,0.045723,621
115,True,1,0.008359,0.003680,0.001826,-0.006532,0.000956,0.000491,0.000187,-0.000769,0.031157,0.035997,158
116,True,1,0.127230,0.000927,0.001944,-0.125286,0.053732,0.000094,0.000207,-0.053525,0.018643,0.005867,112
117,True,1,0.071938,0.000098,0.006455,-0.065483,0.026174,0.000008,0.000824,-0.025350,0.031731,0.014776,163
118,True,1,0.014081,0.001961,0.001617,-0.012463,0.001071,0.000235,0.000178,-0.000893,0.026531,0.010262,137
119,True,1,0.041922,0.000065,0.007564,-0.034357,0.006499,0.000005,0.001104,-0.005395,0.015877,0.013524,168
120,False,1,0.014405,0.004853,0.001959,-0.012446,0.001100,0.000688,0.000224,-0.000876,0.042455,0.026445,271
121,True,1,0.022986,0.003442,0.000785,-0.022201,0.001856,0.000457,0.000071,-0.001785,0.022675,0.021413,160
122,True,1,0.016011,0.000147,0.005920,-0.010091,0.001273,0.000012,0.000721,-0.000552,0.028394,0.022679,167
123,True,1,0.009227,0.000783,0.000710,-0.008518,0.000700,0.000084,0.000066,-0.000634,0.022969,0.013921,192
124,True,1,0.012201,0.004368,0.001680,-0.010522,0.000929,0.000599,0.000168,-0.000761,0.013314,0.005922,124
125,True,1,0.018570,0.001139,0.000902,-0.017668,0.001529,0.000121,0.000084,-0.001445,0.009340,0.003660,118
126,True,1,0.011191,0.002897,0.001680,-0.009511,0.000841,0.000368,0.000180,-0.000660,0.018003,0.014446,246
127,True,1,0.085702,0.002206,0.010350,-0.075352,0.142832,0.000286,0.001484,-0.141348,0.039562,0.029326,196
128,True,1,0.027088,0.000586,0.002964,-0.024124,0.002225,0.000053,0.000324,-0.001900,0.022253,0.011628,138
129,True,1,0.041013,0.002305,0.001319,-0.039694,0.003597,0.000281,0.000133,-0.003464,0.025123,0.008765,124
130,True,1,0.019145,0.000617,0.003442,-0.015703,0.001509,0.000063,0.000376,-0.001133,0.031804,0.032959,190
131,True,1,0.016295,0.003867,0.002420,-0.013875,0.001262,0.000536,0.000270,-0.000992,0.023930,0.015857,145
132,True,1,0.021075,0.000589,0.002174,-0.018901,0.001720,0.000058,0.000261,-0.001460,0.030572,0.028811,103
133,True,1,0.019527,0.003211,0.001791,-0.017736,0.001619,0.000410,0.000188,-0.001431,0.015868,0.007973,147
134,True,1,0.015806,0.000016,0.001543,-0.014262,0.001244,0.000001,0.000150,-0.001094,0.009655,0.001861,141
135,True,1,0.004358,0.003810,0.006362,0.002003,0.000311,0.000468,0.000830,0.000519,0.017036,0.010496,276
136,True,1,0.016681,0.004358,0.004816,-0.011865,0.001448,0.000637,0.000590,-0.000857,0.006247,0.001407,219
137,False,1,0.044455,0.001030,0.006160,-0.038295,0.011791,0.000111,0.000761,-0.011030,0.078579,0.041719,608
138,True,1,0.010674,0.001506,0.000818,-0.009856,0.000872,0.000177,0.000075,-0.000797,0.018902,0.007820,145
139,True,1,0.019484,0.002397,0.002190,-0.017294,0.001535,0.000299,0.000233,-0.001302,0.020758,0.013415,196
140,True,1,0.101619,0.001580,0.002145,-0.099474,0.060745,0.000180,0.000233,-0.060512,0.036455,0.023525,138
141,True,1,0.036132,0.000946,0.005362,-0.030771,0.002979,0.000102,0.000679,-0.002300,0.035583,0.020755,209
142,True,1,0.016944,0.002920,0.054776,0.037831,0.001331,0.000384,0.010875,0.009544,0.030942,0.011605,211
143,True,1,0.018003,0.000529,0.005919,-0.012084,0.001449,0.000051,0.000744,-0.000705,0.026039,0.012910,173
144,True,1,0.023778,0.000127,0.002511,-0.021267,0.005069,0.000011,0.000269,-0.004800,0.015497,0.010427,177
145,False,1,0.006685,0.001759,0.004183,-0.002502,0.000486,0.000189,0.000491,0.000005,0.053063,0.027781,363
146,True,1,0.021880,0.005603,0.003338,-0.018542,0.001726,0.000709,0.000397,-0.001329,0.033672,0.050111,117
147,True,1,0.014711,0.001261,0.002059,-0.012652,0.001166,0.000141,0.000210,-0.000956,0.022137,0.019154,146
148,True,1,0.011904,0.001444,0.003716,-0.008189,0.000906,0.000170,0.000425,-0.000480,0.031921,0.079100,363
149,True,1,0.026581,0.001127,0.004556,-0.022025,0.004475,0.000113,0.000558,-0.003917,0.022907,0.013751,211
150,True,1,0.036025,0.001518,0.001432,-0.034594,0.003288,0.000167,0.000142,-0.003146,0.015614,0.003779,159
151,True,1,0.002426,0.003811,0.001987,-0.000439,0.000174,0.000503,0.000217,0.000043,0.043636,0.037429,379
152,True,1,0.094998,0.005499,0.005487,-0.089510,0.104169,0.000782,0.000661,-0.103508,0.025858,0.019168,269
153,True,1,0.019681,0.000176,0.003721,-0.015960,0.001954,0.000015,0.000480,-0.001474,0.010749,0.003394,244
154,True,1,0.022978,0.003663,0.001429,-0.021549,0.001968,0.000513,0.000139,-0.001829,0.021734,0.006964,170
155,True,1,0.014047,0.001791,0.004444,-0.009603,0.001097,0.000216,0.000532,-0.000565,0.036973,0.029985,321
156,True,1,0.078730,0.001531,0.001862,-0.076868,0.039765,0.000170,0.000194,-0.039571,0.016221,0.005159,151
157,True,1,0.017076,0.001707,0.003057,-0.014018,0.001356,0.000187,0.000336,-0.001020,0.022304,0.006505,137
158,True,1,0.012585,0.003582,0.001675,-0.010911,0.001119,0.000453,0.000163,-0.000956,0.017922,0.006015,125
159,True,1,0.048467,0.005761,0.002487,-0.045980,0.004191,0.000857,0.000275,-0.003916,0.009069,0.014311,200
160,True,1,0.013889,0.004561,0.001512,-0.012377,0.001060,0.000663,0.000155,-0.000905,0.020825,0.005479,201
161,True,1,0.146887,0.000519,0.002145,-0.144741,0.178646,0.000051,0.000227,-0.178419,0.050146,0.063345,210
162,True,1,0.016097,0.001798,0.002444,-0.013653,0.001346,0.000214,0.000264,-0.001081,0.035219,0.022098,175
163,True,1,0.018853,0.006396,0.002996,-0.015856,0.001613,0.001020,0.000348,-0.001265,0.023580,0.013249,216
164,True,1,0.017661,0.000177,0.003390,-0.014271,0.001496,0.000017,0.000392,-0.001104,0.030068,0.017135,131
165,True,1,0.025614,0.002748,0.000787,-0.024827,0.002219,0.000380,0.000071,-0.002148,0.032684,0.031541,200
166,True,1,0.116832,0.001161,0.000848,-0.115984,0.044269,0.000131,0.000077,-0.044192,0.010729,0.003223,123
167,True,1,0.008845,0.000966,0.001074,-0.007771,0.000645,0.000106,0.000108,-0.000538,0.041343,0.034079,145
168,True,1,0.107640,0.002080,0.001208,-0.106432,0.144565,0.000256,0.000123,-0.144443,0.035986,0.024914,184
169,True,1,0.004791,0.004093,0.002314,-0.002477,0.000342,0.000561,0.000248,-0.000094,0.017305,0.018631,170
170,True,1,0.005072,0.004510,0.001152,-0.003920,0.000365,0.000658,0.000114,-0.000251,0.019433,0.008934,258
171,False,1,0.108338,0.013112,0.003820,-0.104519,0.074462,0.002286,0.000416,-0.074046,0.030442,0.016327,297
172,True,1,0.027242,0.000290,0.006555,-0.020687,0.002692,0.000025,0.000996,-0.001696,0.022663,0.012212,249
173,True,1,0.014681,0.000493,0.004904,-0.009778,0.001182,0.000050,0.000573,-0.000609,0.018968,0.007757,237
174,True,1,0.015314,0.003439,0.001840,-0.013474,0.001190,0.000434,0.000189,-0.001001,0.031581,0.022363,160
175,True,1,0.029983,0.006770,0.003795,-0.026188,0.002412,0.000996,0.000437,-0.001975,0.036566,0.024605,310
176,True,1,0.008036,0.006246,0.001948,-0.006088,0.000585,0.000917,0.000197,-0.000388,0.007370,0.001620,164
177,True,1,0.023571,0.001233,0.002555,-0.021017,0.001978,0.000131,0.000288,-0.001691,0.005517,0.000664,118
178,True,1,0.044812,0.001905,0.004594,-0.040218,0.003855,0.000229,0.000551,-0.003304,0.023769,0.020845,123
179,True,1,0.039803,0.002035,0.003300,-0.036503,0.008629,0.000256,0.000399,-0.008230,0.028670,0.037816,185
180,True,1,0.019100,0.002024,0.000796,-0.018304,0.001469,0.000255,0.000074,-0.001396,0.031634,0.023798,236
181,True,1,0.088217,0.001741,0.005267,-0.082951,0.049086,0.000211,0.000673,-0.048413,0.034954,0.027201,248
182,True,1,0.151105,0.005547,0.003069,-0.148036,0.033211,0.000836,0.000337,-0.032874,0.021927,0.007030,310
183,True,1,0.021887,0.000401,0.003019,-0.018868,0.001802,0.000037,0.000332,-0.001470,0.011815,0.006676,114
184,True,1,0.010459,0.002153,0.000933,-0.009526,0.000815,0.000270,0.000085,-0.000730,0.020225,0.008535,291
185,False,1,0.012767,0.000030,0.002609,-0.010157,0.001022,0.000002,0.000303,-0.000719,0.019803,0.017449,196
186,True,1,0.026869,0.004649,0.001932,-0.024937,0.002310,0.000640,0.000206,-0.002104,0.024283,0.013755,182
187,True,1,0.009762,0.000111,0.002894,-0.006868,0.000729,0.000009,0.000323,-0.000406,0.023817,0.022029,293
188,True,1,0.034964,0.000999,0.001258,-0.033706,0.002958,0.000106,0.000123,-0.002835,0.015625,0.006121,120
189,True,1,0.013824,0.000821,0.001564,-0.012260,0.001066,0.000087,0.000157,-0.000909,0.030461,0.014812,119
190,True,1,0.036012,0.004619,0.001680,-0.034333,0.003069,0.000665,0.000171,-0.002898,0.027238,0.014876,221
191,True,1,0.011854,0.002633,0.003207,-0.008647,0.000876,0.000323,0.000370,-0.000505,0.027216,0.015208,250
192,True,1,0.038871,0.001599,0.002287,-0.036585,0.003511,0.000183,0.000249,-0.003263,0.012019,0.002442,123
193,True,1,0.015998,0.000894,0.001808,-0.014190,0.001265,0.000099,0.000186,-0.001078,0.027971,0.020879,185
194,True,1,0.030302,0.001998,0.001934,-0.028367,0.003745,0.000231,0.000208,-0.003538,0.024760,0.009821,122
195,True,1,0.053144,0.003152,0.001658,-0.051486,0.007055,0.000378,0.000166,-0.006889,0.009042,0.001743,132
196,True,1,0.010759,0.003667,0.003078,-0.007681,0.000973,0.000513,0.000341,-0.000632,0.028600,0.016003,233
197,True,1,0.008541,0.000043,0.003937,-0.004604,0.000622,0.000003,0.000451,-0.000171,0.016969,0.008842,222
198,True,1,0.023184,0.000866,0.001091,-0.022093,0.001830,0.000091,0.000103,-0.001728,0.034079,0.021575,124
199,True,1,0.013095,0.002520,0.002744,-0.010350,0.001008,0.000328,0.000299,-0.000709,0.049679,0.035913,274
