sample_id,block_idx,is_correct,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,meta_start_tok,meta_end_tok,meta_length_tokens
174,0,True,0.015314,0.003439,0.001840,-0.013474,0.001190,0.000434,0.000189,-0.001001,152,158,7
175,0,True,0.029983,0.006770,0.003795,-0.026188,0.002412,0.000996,0.000437,-0.001975,350,356,7
176,0,True,0.008036,0.006246,0.001948,-0.006088,0.000585,0.000917,0.000197,-0.000388,153,159,7
177,0,True,0.023571,0.001233,0.002555,-0.021017,0.001978,0.000131,0.000288,-0.001691,108,114,7
178,0,True,0.044812,0.001905,0.004594,-0.040218,0.003855,0.000229,0.000551,-0.003304,120,126,7
179,0,True,0.039803,0.002035,0.003300,-0.036503,0.008629,0.000256,0.000399,-0.008230,227,233,7
180,0,True,0.019100,0.002024,0.000796,-0.018304,0.001469,0.000255,0.000074,-0.001396,220,226,7
181,0,True,0.088217,0.001741,0.005267,-0.082951,0.049086,0.000211,0.000673,-0.048413,331,337,7
182,0,True,0.151105,0.005547,0.003069,-0.148036,0.033211,0.000836,0.000337,-0.032874,297,303,7
183,0,True,0.021887,0.000401,0.003019,-0.018868,0.001802,0.000037,0.000332,-0.001470,102,107,6
184,0,True,0.010459,0.002153,0.000933,-0.009526,0.000815,0.000270,0.000085,-0.000730,356,362,7
185,0,False,0.012767,0.000030,0.002609,-0.010157,0.001022,0.000002,0.000303,-0.000719,179,184,6
186,0,True,0.026869,0.004649,0.001932,-0.024937,0.002310,0.000640,0.000206,-0.002104,199,205,7
187,0,True,0.009762,0.000111,0.002894,-0.006868,0.000729,0.000009,0.000323,-0.000406,309,314,6
188,0,True,0.034964,0.000999,0.001258,-0.033706,0.002958,0.000106,0.000123,-0.002835,96,102,7
189,0,True,0.013824,0.000821,0.001564,-0.012260,0.001066,0.000087,0.000157,-0.000909,105,110,6
190,0,True,0.036012,0.004619,0.001680,-0.034333,0.003069,0.000665,0.000171,-0.002898,224,230,7
191,0,True,0.011854,0.002633,0.003207,-0.008647,0.000876,0.000323,0.000370,-0.000505,319,325,7
192,0,True,0.038871,0.001599,0.002287,-0.036585,0.003511,0.000183,0.000249,-0.003263,112,118,7
193,0,True,0.015998,0.000894,0.001808,-0.014190,0.001265,0.000099,0.000186,-0.001078,170,176,7
194,0,True,0.030302,0.001998,0.001934,-0.028367,0.003745,0.000231,0.000208,-0.003538,110,116,7
195,0,True,0.053144,0.003152,0.001658,-0.051486,0.007055,0.000378,0.000166,-0.006889,130,136,7
196,0,True,0.010759,0.003667,0.003078,-0.007681,0.000973,0.000513,0.000341,-0.000632,256,262,7
197,0,True,0.008541,0.000043,0.003937,-0.004604,0.000622,0.000003,0.000451,-0.000171,246,251,6
198,0,True,0.023184,0.000866,0.001091,-0.022093,0.001830,0.000091,0.000103,-0.001728,123,129,7
199,0,True,0.013095,0.002520,0.002744,-0.010350,0.001008,0.000328,0.000299,-0.000709,288,294,7
