sample_id,is_correct,num_meta_blocks,before_entropy,meta_entropy,after_entropy,delta,before_surprisal,meta_surprisal,after_surprisal,delta_surprisal,full_sequence_entropy,full_sequence_surprisal,completion_length_tokens
171,True,1,1.580657,1.009646,1.727797,0.147140,1.454597,1.197608,0.992529,-0.462069,0.694860,0.801862,1272
172,True,1,1.308995,0.709807,0.457229,-0.851766,1.088450,0.808077,0.357090,-0.731361,0.469693,0.624322,192
173,True,1,0.571181,0.282144,0.732319,0.161139,0.146853,0.258920,0.561966,0.415113,0.238110,0.247518,154
174,True,1,1.427028,1.084743,1.348463,-0.078565,1.643521,1.446816,1.418487,-0.225033,0.601290,0.869102,761
175,True,1,1.364013,0.764569,0.663640,-0.700373,1.452591,0.790940,0.723760,-0.728830,0.463588,0.502453,253
176,True,1,0.987414,0.678862,1.039758,0.052344,0.537118,0.499345,0.855816,0.318699,0.498310,0.458189,210
177,True,1,0.523905,0.288155,0.599640,0.075736,0.184080,0.267581,0.502057,0.317977,0.239155,0.225278,122
178,True,1,1.632492,0.753174,0.777086,-0.855406,1.780946,1.123081,0.242210,-1.538736,0.576652,0.811340,239
179,True,1,1.385572,1.037031,1.452215,0.066643,0.889265,1.181048,1.454558,0.565293,0.514377,0.588074,1861
180,True,1,0.352354,0.214342,0.707958,0.355604,0.072527,0.234641,0.593993,0.521465,0.194667,0.207005,120
181,True,1,1.018399,0.221226,0.696359,-0.322039,0.884530,0.223917,0.269706,-0.614824,0.241547,0.199503,206
182,True,1,0.382691,0.220691,0.909690,0.526999,0.071790,0.231369,0.412709,0.340919,0.237302,0.327059,174
183,True,1,0.417714,0.237228,0.676970,0.259256,0.115362,0.265641,0.447039,0.331678,0.168069,0.176026,164
184,True,1,0.426307,0.249984,0.672838,0.246531,0.091376,0.297163,0.553471,0.462095,0.372972,0.429278,156
185,True,1,1.114516,0.837775,0.785672,-0.328844,0.600119,0.871643,0.504176,-0.095943,0.354717,0.592896,694
186,True,1,1.139601,0.900319,0.752189,-0.387412,1.662384,0.983942,0.821710,-0.840675,0.545979,0.721871,231
187,True,1,1.448117,0.706682,0.472796,-0.975320,1.196017,0.578890,0.188650,-1.007367,0.456460,0.492940,221
188,True,1,0.539466,0.330188,0.638756,0.099289,0.212921,0.242482,0.297503,0.084583,0.245476,0.225294,159
189,True,1,0.926551,0.601018,0.692322,-0.234229,0.993930,0.746216,0.180471,-0.813460,0.394552,0.461795,338
190,True,1,1.027753,0.835152,1.090251,0.062498,0.732074,0.971624,0.517167,-0.214907,0.350962,0.465169,575
191,True,1,0.325397,0.289800,0.674094,0.348697,0.068064,0.268944,0.377641,0.309577,0.169293,0.131961,122
192,True,1,1.870879,1.037704,1.830676,-0.040204,1.388218,1.654305,1.729189,0.340971,0.649001,0.826645,1947
193,True,1,1.389314,0.709854,0.625304,-0.764010,1.404103,0.657723,0.351821,-1.052282,0.559479,0.556505,204
194,True,1,0.344948,0.206356,0.630361,0.285413,0.077124,0.219986,0.400648,0.323524,0.187255,0.189743,155
195,True,1,0.352126,0.211537,0.611604,0.259478,0.069467,0.208279,0.678292,0.608826,0.290408,0.287147,139
196,True,1,0.304395,0.221072,0.677555,0.373160,0.063091,0.252843,0.471072,0.407981,0.249275,0.243642,138
197,True,1,1.538312,1.029427,1.548704,0.010392,1.248681,1.299359,1.510246,0.261565,0.640190,0.692611,618
198,True,1,1.293938,0.230362,1.589603,0.295665,0.670482,0.238199,2.363437,1.692955,0.230346,0.371365,327
199,True,1,0.725153,0.730937,0.912852,0.187700,0.191059,0.810260,0.446719,0.255660,0.400698,0.459083,319
